Code,NCS,Occupation,Slug
DF010,NA,एस.एस.बी. – सशस्त्र सीमा बल अधिकारी (SSB – Sashastra Seema Bal Officer),/hi/career/%e0%a4%8f%e0%a4%b8-%e0%a4%8f%e0%a4%b8-%e0%a4%ac%e0%a5%80-%e0%a4%b8%e0%a4%b6%e0%a4%b8%e0%a5%8d%e0%a4%a4%e0%a5%8d%e0%a4%b0-%e0%a4%b8%e0%a5%80%e0%a4%ae%e0%a4%be-%e0%a4%ac%e0%a4%b2-%e0%a4%85%e0%a4%a7/
DF011,NA,Agniveer,/career/agniveer/
DF011,NA,अग्निवीर (Agniveer),/hi/career/%e0%a4%85%e0%a4%97%e0%a5%8d%e0%a4%a8%e0%a4%bf%e0%a4%b5%e0%a5%80%e0%a4%b0-agniveer/
DS001,NA,Industrial Designer,/career/industrial-designer/
DS001,NA,इंडस्ट्रियल डिजाइनरIndustrial Designer,/hi/career/%e0%a4%87%e0%a4%82%e0%a4%a1%e0%a4%b8%e0%a5%8d%e0%a4%9f%e0%a5%8d%e0%a4%b0%e0%a4%bf%e0%a4%af%e0%a4%b2-%e0%a4%a1%e0%a4%bf%e0%a4%9c%e0%a4%be%e0%a4%87%e0%a4%a8%e0%a4%b0industrial-designer/
DS002,7314.11,Ceramics/Glass Designer,/career/ceramics-glass-designer/
DS002,7314.11,सिरेमिक / ग्लास डिज़ाइनर Ceramics/Glass Designer,/hi/career/%e0%a4%b8%e0%a4%bf%e0%a4%b0%e0%a5%87%e0%a4%ae%e0%a4%bf%e0%a4%95-%e0%a4%97%e0%a5%8d%e0%a4%b2%e0%a4%be%e0%a4%b8-%e0%a4%a1%e0%a4%bf%e0%a4%9c%e0%a4%bc%e0%a4%be%e0%a4%87%e0%a4%a8%e0%a4%b0-ceramics-glass/
DS003,NA,Design Engineer,/career/design-engineer/
DS003,NA,डिज़ाइन इंजीनियरDesign Engineer,/hi/career/%e0%a4%a1%e0%a4%bf%e0%a4%9c%e0%a4%bc%e0%a4%be%e0%a4%87%e0%a4%a8-%e0%a4%87%e0%a4%82%e0%a4%9c%e0%a5%80%e0%a4%a8%e0%a4%bf%e0%a4%af%e0%a4%b0design-engineer/
DS004,NA,Graphics Designer,/career/graphics-designer/
DS004,NA,ग्राफ़िक्स डिज़ाइनरGraphics Designer,/hi/career/%e0%a4%97%e0%a5%8d%e0%a4%b0%e0%a4%be%e0%a4%ab%e0%a4%bc%e0%a4%bf%e0%a4%95%e0%a5%8d%e0%a4%b8-%e0%a4%a1%e0%a4%bf%e0%a4%9c%e0%a4%bc%e0%a4%be%e0%a4%87%e0%a4%a8%e0%a4%b0graphics-designer/
DS005,2163.0501,Fashion Designer,/career/fashion-designer/
DS005,2163.0501,फैशन डिजाइनर Fashion Designer,/hi/career/%e0%a4%ab%e0%a5%88%e0%a4%b6%e0%a4%a8-%e0%a4%a1%e0%a4%bf%e0%a4%9c%e0%a4%be%e0%a4%87%e0%a4%a8%e0%a4%b0-fashion-designer/
DS006,2166.03,Web Designer,/career/web-designer/
DS006,2166.03,वेब डिज़ाइनर Web Designer,/hi/career/%e0%a4%b5%e0%a5%87%e0%a4%ac-%e0%a4%a1%e0%a4%bf%e0%a4%9c%e0%a4%bc%e0%a4%be%e0%a4%87%e0%a4%a8%e0%a4%b0-web-designer/
DS007,NA,Production Designer,/career/production-designer/
DS007,NA,प्रोडक्शन डिज़ाइनर Production Designer,/hi/career/%e0%a4%aa%e0%a5%8d%e0%a4%b0%e0%a5%8b%e0%a4%a1%e0%a4%95%e0%a5%8d%e0%a4%b6%e0%a4%a8-%e0%a4%a1%e0%a4%bf%e0%a4%9c%e0%a4%bc%e0%a4%be%e0%a4%87%e0%a4%a8%e0%a4%b0-production-designer/
DS008,2163.06,Textile Designer,/career/textile-designer/
DS008,2163.06,टेक्सटाइल डिज़ाइन तकनीशियन Textile Designer,/hi/career/%e0%a4%9f%e0%a5%87%e0%a4%95%e0%a5%8d%e0%a4%b8%e0%a4%9f%e0%a4%be%e0%a4%87%e0%a4%b2-%e0%a4%a1%e0%a4%bf%e0%a4%9c%e0%a4%bc%e0%a4%be%e0%a4%87%e0%a4%a8-%e0%a4%a4%e0%a4%95%e0%a4%a8%e0%a5%80%e0%a4%b6%e0%a4%bf/
DS009,NA,Game Designer and Developer,/career/game-designer-and-developer/
DS009,NA,गेम डिज़ाइनर और डेवलपरGame Designer and Developer,/hi/career/%e0%a4%97%e0%a5%87%e0%a4%ae-%e0%a4%a1%e0%a4%bf%e0%a4%9c%e0%a4%bc%e0%a4%be%e0%a4%87%e0%a4%a8%e0%a4%b0-%e0%a4%94%e0%a4%b0-%e0%a4%a1%e0%a5%87%e0%a4%b5%e0%a4%b2%e0%a4%aa%e0%a4%b0game-designer-and-develop/
DS010,NA,Film/Video Designer,/career/film-video-designer/
DS010,NA,फिल्म और वीडियो डिज़ाइनर  Film and Video Designer,/hi/career/%e0%a4%ab%e0%a4%bf%e0%a4%b2%e0%a5%8d%e0%a4%ae-%e0%a4%94%e0%a4%b0-%e0%a4%b5%e0%a5%80%e0%a4%a1%e0%a4%bf%e0%a4%af%e0%a5%8b-%e0%a4%a1%e0%a4%bf%e0%a4%9c%e0%a4%bc%e0%a4%be%e0%a4%87%e0%a4%a8%e0%a4%b0-film/
DS011,2152.0801,Electronic Designer/VLSI/Embedded System Designer,/career/electronic-designer-vlsi-embedded-system-designer/
DS011,2152.0801,इलेक्ट्रॉनिक डिजाइनर / वी.एल.एस.आई. / एम्बेडेड सिस्टम डिजाइनर Electronic designers/ VLSI/ embedded system designer,/hi/career/%e0%a4%87%e0%a4%b2%e0%a5%87%e0%a4%95%e0%a5%8d%e0%a4%9f%e0%a5%8d%e0%a4%b0%e0%a5%89%e0%a4%a8%e0%a4%bf%e0%a4%95-%e0%a4%a1%e0%a4%bf%e0%a4%9c%e0%a4%be%e0%a4%87%e0%a4%a8%e0%a4%b0-%e0%a4%b5%e0%a5%80/
DS012,3432.01,Interior Designer,/career/interior-designer/
DS012,3432.01,इंटीरियर डिज़ाइनर Interior designer,/hi/career/%e0%a4%87%e0%a4%82%e0%a4%9f%e0%a5%80%e0%a4%b0%e0%a4%bf%e0%a4%af%e0%a4%b0-%e0%a4%a1%e0%a4%bf%e0%a4%9c%e0%a4%bc%e0%a4%be%e0%a4%87%e0%a4%a8%e0%a4%b0-interior-designer/
DS013,NA,Visual Communication Designer,/career/visual-communication-designer/
DS013,NA,दृश्य संचार डिज़ाइनरVisual Communication Designer,/hi/career/%e0%a4%a6%e0%a5%83%e0%a4%b6%e0%a5%8d%e0%a4%af-%e0%a4%b8%e0%a4%82%e0%a4%9a%e0%a4%be%e0%a4%b0-%e0%a4%a1%e0%a4%bf%e0%a4%9c%e0%a4%bc%e0%a4%be%e0%a4%87%e0%a4%a8%e0%a4%b0visual-communication-designer/
DS014,2166.0401,CAD Jewellery Designer,/career/cad-jewellery-designer/
DS014,2166.0401,कैड आभूषण डिज़ाइनर CAD jewellery designer,/hi/career/%e0%a4%95%e0%a5%88%e0%a4%a1-%e0%a4%86%e0%a4%ad%e0%a5%82%e0%a4%b7%e0%a4%a3-%e0%a4%a1%e0%a4%bf%e0%a4%9c%e0%a4%bc%e0%a4%be%e0%a4%87%e0%a4%a8%e0%a4%b0-cad-jewellery-designer/
DS015,NA,Multimedia Designer,/career/multimedia-designer/
DS015,NA,मल्टीमीडिया डिज़ाइनर Multimedia designer,/hi/career/%e0%a4%ae%e0%a4%b2%e0%a5%8d%e0%a4%9f%e0%a5%80%e0%a4%ae%e0%a5%80%e0%a4%a1%e0%a4%bf%e0%a4%af%e0%a4%be-%e0%a4%a1%e0%a4%bf%e0%a4%9c%e0%a4%bc%e0%a4%be%e0%a4%87%e0%a4%a8%e0%a4%b0multimedia-designer/
DS016,7536.04,Footwear Designer,/career/footwear-designer/
